id|type|score
STRING|INTEGER|DOUBLE
944322378|1|0.8744221
943136791|1|0.8721325
931979943|1|0.8645891
307875|2|0.8604221
934593517|1|0.8591693
945170129|1|0.8590293
946242052|1|0.8537231
309385|2|0.8449220
305522|2|0.8434289
937462931|1|0.8421039
945316495|1|0.8418128
943382497|1|0.8219625
298415|2|0.8213122
940372417|1|0.8204281
945119461|1|0.7924257
300389|2|0.8144209
317679|2|0.8011283
945027085|1|0.7913772
933092876|1|0.7734294
945226737|1|0.7646522
948253231|1|0.7543222
946885823|1|0.7441328
938417011|1|0.7344227
935000817|1|0.7210025
942658385|1|0.7204253
934066015|1|0.7200391
946334601|1|0.7178792
318171|2|0.7145229
314684|2|0.6737903
